total_bill,size,tip,day,sector
17.7,2,2.53,Sábado,Cafetería
26.8,3,1.11,Sábado,Cafetería
11.96,6,4.58,Sábado,Eventos
15.03,3,4.03,Jueves,Eventos
43.29,4,7.0,Domingo,Eventos
23.9,5,5.98,Domingo,Eventos
40.96,2,4.78,Domingo,Eventos
49.57,1,5.04,Sábado,Cafetería
62.87,3,8.48,Sábado,Comedor
31.3,4,5.34,Sábado,Comedor
29.12,3,2.02,Domingo,Eventos
28.82,1,4.88,Domingo,Comedor
17.07,4,3.07,Viernes,Eventos
49.79,6,9.73,Domingo,Cafetería
59.18,4,9.77,Domingo,Cafetería
38.38,6,8.09,Domingo,Eventos
43.5,3,7.01,Jueves,Eventos
67.51,3,10.08,Domingo,Cafetería
51.93,2,4.73,Domingo,Eventos
54.7,4,7.68,Jueves,Eventos
63.37,4,8.36,Sábado,Comedor
22.95,1,2.03,Jueves,Comedor
49.01,6,10.43,Domingo,Cafetería
53.04,1,4.9,Sábado,Cafetería
60.53,4,6.96,Sábado,Comedor
30.63,2,4.67,Domingo,Eventos
51.33,6,9.44,Domingo,Eventos
46.26,4,5.98,Jueves,Cafetería
34.56,1,3.4,Domingo,Comedor
16.1,1,3.24,Sábado,Cafetería
31.18,2,2.68,Viernes,Eventos
67.81,5,8.05,Sábado,Comedor
22.99,6,4.93,Sábado,Eventos
16.82,4,3.82,Domingo,Comedor
32.06,4,5.39,Domingo,Eventos
16.06,4,6.5,Jueves,Cafetería
26.03,3,5.62,Sábado,Eventos
64.87,4,8.22,Domingo,Comedor
29.13,3,4.51,Sábado,Cafetería
45.15,3,7.11,Domingo,Comedor
24.32,2,4.36,Sábado,Comedor
50.08,5,8.63,Viernes,Cafetería
17.66,5,6.62,Sábado,Eventos
57.39,5,6.93,Sábado,Eventos
35.38,3,2.58,Domingo,Comedor
21.02,3,4.11,Sábado,Cafetería
55.49,3,6.98,Viernes,Cafetería
