horsepower,mpg,weight,origin
47.9,39.2,1943.7,japan
215.2,21.6,3976.8,europe
50.9,35.19,1608.9,usa
138.5,25.19,2728.9,japan
190.3,14.37,3465.2,usa
167.8,23.86,3370.6,europe
175.6,20.19,3245.5,japan
63.0,35.02,1803.0,japan
204.8,18.57,3836.1,japan
165.2,23.33,3290.1,europe
219.2,19.16,3705.7,usa
229.1,22.06,3830.8,usa
184.6,15.4,3615.1,europe
194.0,17.09,3296.9,japan
222.8,14.72,3820.8,europe
178.1,22.0,3417.8,europe
158.2,17.24,3127.6,japan
142.5,28.73,3077.1,usa
141.7,22.94,2592.7,usa
163.4,24.16,3163.9,europe
160.6,18.88,3181.0,japan
45.3,40.88,1803.2,japan
72.6,33.72,2175.2,usa
122.1,22.78,2455.2,usa
98.2,26.95,2638.6,europe
169.8,24.59,3319.2,japan
228.3,21.04,4040.2,japan
94.2,29.57,2226.3,europe
195.0,24.23,3572.3,usa
113.7,20.62,2803.9,usa
178.9,20.88,3344.1,japan
61.4,34.01,1972.2,europe
160.4,24.86,3182.1,europe
141.3,25.52,2601.7,europe
198.4,22.06,3549.5,usa
66.9,32.01,2128.0,europe
141.5,24.13,2810.3,europe
204.7,21.55,3649.1,usa
173.5,23.71,3276.5,usa
74.7,29.38,1812.5,japan
202.9,17.22,3779.2,europe
87.7,29.8,2009.1,usa
58.6,39.25,1979.7,europe
60.7,36.72,1904.4,europe
190.1,22.99,3419.6,japan
200.5,14.16,3617.6,usa
207.9,18.02,3830.7,japan
184.6,21.09,3561.2,japan
210.4,19.27,3647.3,japan
216.6,13.61,3769.7,usa
144.4,25.25,2777.8,europe
162.0,22.06,2880.5,europe
221.4,16.97,4027.8,japan
140.1,25.84,2684.0,japan
89.5,24.55,2142.1,japan
218.6,16.97,3892.0,japan
54.4,39.3,1609.9,europe
152.9,22.78,3121.4,usa
216.9,17.76,3651.5,usa
182.7,19.56,3187.9,usa
157.0,20.96,2979.6,europe
135.0,25.46,2666.7,europe
95.4,27.17,2387.6,japan
149.2,23.81,3245.9,usa
181.6,14.78,3501.0,europe
148.8,25.22,3069.6,europe
186.8,25.83,3330.6,usa
223.9,19.29,3843.6,usa
163.3,20.9,3176.1,japan
176.0,18.99,3297.8,europe
202.1,20.71,3647.8,europe
147.3,20.63,2748.1,europe
98.3,25.45,2693.2,usa
191.8,14.14,3254.8,usa
197.6,19.78,3537.8,japan
226.3,17.22,4056.9,japan
48.9,38.39,1645.2,europe
138.8,22.95,3046.9,europe
56.3,34.7,1613.9,europe
136.8,23.6,2699.7,japan
133.3,20.75,2368.3,europe
85.7,29.26,2405.2,europe
229.8,17.11,3734.3,europe
182.4,15.69,3255.2,europe
116.4,22.14,2725.3,japan
192.1,17.97,3556.5,europe
90.7,27.28,2469.2,japan
97.6,28.25,2477.7,europe
188.6,18.61,3613.3,usa
173.6,20.34,3186.0,usa
190.2,18.52,3455.9,europe
117.0,18.63,2726.3,europe
79.2,30.46,2274.6,usa
125.4,22.11,2863.7,japan
182.0,19.58,3235.3,europe
201.6,17.08,3410.3,japan
211.9,20.17,3505.8,japan
228.6,17.75,3847.3,usa
102.9,28.62,2405.9,europe
200.0,21.02,3374.4,usa
229.7,16.4,3912.2,japan
96.7,29.78,2463.0,europe
45.9,40.7,1917.9,usa
71.4,29.8,1939.2,japan
188.9,19.32,3557.3,europe
193.7,19.6,3283.5,usa
93.1,31.48,2186.4,usa
218.9,17.37,3835.0,usa
88.7,32.94,2137.3,usa
179.8,22.03,3205.8,europe
79.1,25.5,2186.4,europe
